kept_transcripts	age<50&storm	ref	var
CLCNKA	0	683	2
CLCNKA	1	83	0
CLCNKB	0	684	1
CLCNKB	1	83	0
CLDN14	0	685	0
CLDN14	1	83	0
CLIC5	0	684	1
CLIC5	1	83	0
CLN3	0	685	0
CLN3	1	83	0
CLRN1	0	684	1
CLRN1	1	83	0
CLU	0	685	0
CLU	1	82	1
CNGA3	0	684	1
CNGA3	1	83	0
CNGB1	0	685	0
CNGB1	1	82	1
CNGB3	0	675	10
CNGB3	1	83	0
CNTNAP2	0	684	1
CNTNAP2	1	83	0
COCH	0	684	1
COCH	1	83	0
COG5	0	684	1
COG5	1	83	0
COG6	0	683	2
COG6	1	83	0
COL10A1	0	684	1
COL10A1	1	83	0
COL11A1	0	685	0
COL11A1	1	83	0
COL18A1	0	670	15
COL18A1	1	82	1
COL1A2	0	685	0
COL1A2	1	82	1
COL4A1	0	685	0
COL4A1	1	83	0
COL4A2	0	680	5
COL4A2	1	82	1
COL4A3	0	684	1
COL4A3	1	83	0
COL4A4	0	684	1
COL4A4	1	83	0
COL6A3	0	684	1
COL6A3	1	83	0
COL7A1	0	674	11
COL7A1	1	82	1
COL9A2	0	674	11
COL9A2	1	81	2
COL9A3	0	682	3
COL9A3	1	83	0
COMP	0	685	0
COMP	1	83	0
COQ2	0	643	42
COQ2	1	81	2
COQ9	0	684	1
COQ9	1	83	0
CP	0	680	5
CP	1	83	0
CPA1	0	684	1
CPA1	1	83	0
CPLANE1	0	677	8
CPLANE1	1	83	0
CRB1	0	685	0
CRB1	1	83	0
CRBN	0	684	1
CRBN	1	83	0
CRLF1	0	685	0
CRLF1	1	83	0
CRPPA	0	684	1
CRPPA	1	83	0
CRYBA2	0	684	1
CRYBA2	1	83	0
CRYBA4	0	681	4
CRYBA4	1	82	1
CRYBB2	0	684	1
CRYBB2	1	83	0
CRYBB3	0	685	0
CRYBB3	1	83	0
CRYGD	0	678	7
CRYGD	1	82	1
CRYM	0	685	0
CRYM	1	83	0
CSF2RB	0	670	15
CSF2RB	1	82	1
CSPP1	0	685	0
CSPP1	1	83	0
CST3	0	681	4
CST3	1	83	0
CTC1	0	684	1
CTC1	1	83	0
CTNNA3	0	685	0
CTNNA3	1	82	1
CTPS1	0	684	1
CTPS1	1	83	0
CTSA	0	670	15
CTSA	1	80	3
CTSC	0	684	1
CTSC	1	83	0
CUBN	0	682	3
CUBN	1	83	0
CUBNP1	0	684	1
CUBNP1	1	83	0
CUL3	0	684	1
CUL3	1	83	0
CUL7	0	683	2
CUL7	1	83	0
CWF19L1	0	684	1
CWF19L1	1	83	0
CYBA	0	684	1
CYBA	1	83	0
CYP11A1	0	684	1
CYP11A1	1	83	0
CYP11B2	0	684	1
CYP11B2	1	83	0
CYP17A1	0	684	1
CYP17A1	1	83	0
CYP24A1	0	683	2
CYP24A1	1	83	0
CYP26C1	0	684	1
CYP26C1	1	83	0
CYP2A13	0	679	6
CYP2A13	1	82	1
CYP2A6	0	623	62
CYP2A6	1	76	7
CYP2B6	0	683	2
CYP2B6	1	83	0
CYP2C19	0	678	7
CYP2C19	1	83	0
CYP4F2	0	682	3
CYP4F2	1	83	0
CYP4V2	0	684	1
CYP4V2	1	81	2
DARS2	0	685	0
DARS2	1	82	1
DBH	0	684	1
DBH	1	82	1
DCHS1	0	685	0
DCHS1	1	83	0
DCLRE1C	0	683	2
DCLRE1C	1	83	0
DCLRE1CP1	0	683	2
DCLRE1CP1	1	83	0
DDHD2	0	683	2
DDHD2	1	83	0
DDX11	0	680	5
DDX11	1	82	1
DDX12P	0	684	1
